SR	SRsd	Rsq	negative_points
0.244245314280261	0.0218396364886429	0.850890057701758	1
0.176102750677201	0.0248803129491396	0.69517776512491	1
0.177540751883224	0.0235716055514576	0.720908117156112	1
0.187768452824398	0.0158963366323049	0.875085468706082	3
0.225303712130532	0.0362313965174579	0.648324276196247	2
0.152124101665051	0.0256846541588308	0.625774920326006	2
0.202658127855417	0.0261471335282831	0.75056503432249	3
0.181959404088875	0.0240302625456853	0.732262767177083	2
0.214627163666119	0.0210506648989648	0.825780417341311	1
0.242819086832111	0.0178892579043431	0.88956098734796	0
0.167719250707134	0.0321559865499767	0.576511139416886	3
0.218568635126754	0.0239140051307092	0.791951852991999	1
0.171415661872655	0.0160196724480096	0.851731471435934	3
0.200827523758069	0.0152719432315655	0.88314443083064	0
0.237977066794488	0.0145966072996246	0.930540444952292	3
0.233605425693387	0.0154953286959449	0.912293770878958	1
0.197647864558477	0.0110313808804373	0.939152796450027	2
0.214822296057382	0.0253501101214179	0.75781040605717	0
0.182977997661427	0.0141212287261523	0.889327082386247	2
0.180113437972765	0.0166343535314565	0.84854368947179	2
0.169256059594891	0.0207107381406173	0.761150628358358	2
0.210682429694175	0.0202468113234166	0.831586204154049	1
0.219111106002922	0.0198954695241942	0.841083795411228	0
0.271817433911557	0.0273775423546009	0.81126853914036	0
0.177653048216621	0.015270828431017	0.866146754410331	2
0.245289235360061	0.0224527497993669	0.850827233518616	2
0.221245744571981	0.0156192372016677	0.901723144619457	1
0.202425960792153	0.0171627535204836	0.874758379778387	3
0.209141884890417	0.0245288997282747	0.776255394130077	2
0.213788206874108	0.0197193262375405	0.848870941230991	2
0.194443240245559	0.0237342717404898	0.770779490102765	3
0.239931930432593	0.0262229822218364	0.799860545738422	2
0.233464532787665	0.0341987288242249	0.732993743100954	6
0.178814211603446	0.0138647549046721	0.88839594655467	2
0.199134080097092	0.0234715007385349	0.774520664785864	2
0.260700449262871	0.02089563669977	0.881614429616139	2
0.217175086386447	0.0238788435836332	0.790320259415997	1
0.238499855639507	0.0234168623091666	0.832075680886543	2
0.220140111003809	0.0362258463850575	0.626924547192216	1
0.159277499599185	0.00992500062735591	0.935144782513923	5
0.235596071596159	0.0262733104358267	0.793313620119543	2
0.222949382330417	0.0174113545653164	0.886958044845674	2
0.202546278288645	0.0268721683646298	0.749700658570858	4
0.228151175421036	0.0269491306810363	0.790811206587469	4
0.231535457221754	0.0240296231196557	0.801894622164005	0
0.214194830273943	0.0157819294205873	0.893834715453805	1
0.285373969864728	0.0413129805391054	0.675064509778087	0
0.187448230423704	0.0232619441516927	0.755984615566051	2
0.18885452347786	0.0226267674313235	0.752181047671543	0
0.193454125083529	0.0185426599228372	0.832318873670674	1
0.228001551106437	0.0188987842159301	0.869191664069832	1
0.191957717344999	0.0267446265344203	0.73085922262299	4
0.190945780279223	0.0251343217931392	0.733551310851279	2
0.233898631587746	0.0284588398916709	0.754699962653193	1
0.211196223712894	0.0128085741633785	0.931997095105718	3
0.181274154018716	0.014369221611028	0.87906158959231	1
0.178214953032403	0.021932438333521	0.750444034570155	1
0.21642301259512	0.0142636199563948	0.916936531911302	2
0.157896429333683	0.0149815662895405	0.841448228397878	2
0.227792519901358	0.0254064234727758	0.801157039567432	3
0.222218106925849	0.0268559738734502	0.7489270512672	0
0.205482522211368	0.0252263618286488	0.76873770191146	3
0.267772951336997	0.0289528010026321	0.803289872462872	2
0.179579716636585	0.0142882613000031	0.883147077271408	2
0.201491158548766	0.0183088263557232	0.846746953579355	1
0.208035237929683	0.0163846178995516	0.885242519115021	2
0.224386658364152	0.0118516453402401	0.9476908029669	3
0.17630696814679	0.0144163181125755	0.872269201638483	1
0.224717373253102	0.0228675187941228	0.821804656495658	2
0.195665147621149	0.0181138948778391	0.860387039232077	4
0.219359323289603	0.0275087376497674	0.734743574326286	0
0.181876344268534	0.0176408388898678	0.842064943199796	3
0.245268895530354	0.0346665511016052	0.704773944647107	2
0.225667141837807	0.0166057704410776	0.89840611173919	2
0.227621547271974	0.028664399353429	0.741715199189333	1
0.197546294799417	0.0230042021163664	0.778729531185708	2
0.218720153616561	0.0236239368237865	0.788871810755583	0
0.198491060198901	0.0227397528593573	0.784319474666534	2
0.190548426867168	0.0172881669345753	0.841297567221239	0
0.256887360196068	0.0271092619979051	0.803635264040405	1
0.207959379374346	0.0210849347034302	0.80922585640534	0
0.249984768473949	0.0234127021044171	0.832599612732092	0
0.187703997260366	0.0218502527771493	0.770736567186684	1
0.196508017570379	0.0267585972614552	0.729793881982731	3
0.164809100686286	0.0253368654881979	0.668586457877946	2
0.228565624978214	0.0161952695742289	0.905137787934025	2
0.178518256801796	0.00819545098311763	0.963950475930454	5
0.198623269000374	0.0158275930409316	0.873087491327456	0
0.198835559564678	0.0228367913577095	0.767631712362513	0
0.239829733951092	0.0309982017314159	0.731598875769328	1
0.24040380167155	0.0211093346528583	0.855456416323853	1
0.245776922055736	0.0342537140796271	0.700935657297379	1
0.198230954155941	0.0189516609698107	0.839409097636047	2
0.176823591812542	0.0150516962859553	0.873882100625815	3
0.213375562829356	0.0253358007171772	0.780410881553641	3
0.195226496753808	0.0234117581052141	0.776987070451812	3
0.183924049695516	0.0128105892084359	0.90017695874145	0
0.247179359147675	0.0245368017346314	0.822280923397516	1
0.207302913266899	0.018076734378518	0.857173525800821	1
0.196676348267401	0.0225373416796482	0.776261237662195	1
0.192175977309164	0.0202470898860202	0.79705765535246	0
0.211661753762131	0.0228966248357565	0.803140126693884	2
0.198030986323466	0.021776090973971	0.79789283203623	2
0.236703998194103	0.0400424383339916	0.648020169846225	4
0.235876934088567	0.0215041114451936	0.840002061030671	0
0.181200733320746	0.0132967662029808	0.894607838963714	1
0.191750128569872	0.0145383927879679	0.892783600655513	2
0.204490665145285	0.0122404901623005	0.930565400819847	2
0.198015883225567	0.0276460451718259	0.709867876258891	2
0.170034471614843	0.0209495065148057	0.75001686183089	1
0.243382195480726	0.0197596279875021	0.878895302934186	2
0.234267514021209	0.0401387619488836	0.597189348039386	0
0.208360429411296	0.0238632679015584	0.768639854755861	0
0.248689996623428	0.0297407241516055	0.761047497162507	1
0.22952028234066	0.0200625087713753	0.86789429230814	3
0.189820609754001	0.0197547228853989	0.829727952594196	4
0.164544372164828	0.0207303192726301	0.750359360033162	2
0.197007294272827	0.0212648179382726	0.796393118713162	1
0.184956964702327	0.0233085366374431	0.741436812126978	1
0.222135788295187	0.0258717145253812	0.762600615614008	0
0.210156012730221	0.019991600984788	0.840756080946399	2
0.188032279904121	0.0179084822645099	0.840433761342169	2
